대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명
001,부동산임대차,001,상가임대차,001,임차권 승계
001,부동산임대차,001,상가임대차,002,차임 등의 증감청구
001,부동산임대차,001,상가임대차,003,임차권의 양도
001,부동산임대차,001,상가임대차,004,임차물의 전대
001,부동산임대차,001,상가임대차,005,임대계약의 당사자
001,부동산임대차,001,상가임대차,006,상가임대차 보호법 적용범위
001,부동산임대차,001,상가임대차,007,임대차 기간
001,부동산임대차,001,상가임대차,008,보증금
001,부동산임대차,001,상가임대차,009,임차권의 대항력
001,부동산임대차,001,상가임대차,010,임대차
001,부동산임대차,001,상가임대차,011,기타
001,부동산임대차,002,주택임대차,012,임차권의 양도
001,부동산임대차,002,주택임대차,013,임차물의 전대
001,부동산임대차,002,주택임대차,014,기타
001,부동산임대차,002,주택임대차,015,임차권 승계
001,부동산임대차,002,주택임대차,016,보증금
001,부동산임대차,002,주택임대차,017,임대계약의 당사자
001,부동산임대차,002,주택임대차,018,차임 등의 증감청구
001,부동산임대차,002,주택임대차,019,임대차 기간
001,부동산임대차,002,주택임대차,020,주택임대차 보호법 적용범위
001,부동산임대차,002,주택임대차,021,임차권의 대항력
001,부동산임대차,002,주택임대차,022,임대차
001,부동산임대차,004,임대차일반,024,보증금
001,부동산임대차,004,임대차일반,025,기타
001,부동산임대차,004,임대차일반,026,임차권의 대항력
001,부동산임대차,004,임대차일반,027,임차물의 전대
001,부동산임대차,004,임대차일반,028,임차권의 양도
001,부동산임대차,004,임대차일반,029,임대차 종료
001,부동산임대차,004,임대차일반,030,임대계약의 당사자
001,부동산임대차,004,임대차일반,031,임대차
002,임금,005,실업급여,032,심사청구
002,임금,005,실업급여,033,부정수급
002,임금,005,실업급여,034,구직급여
002,임금,005,실업급여,035,수급권의 보호
002,임금,005,실업급여,036,대상
002,임금,005,실업급여,037,정의
002,임금,006,감급 및 감봉,038,감급의 제한
002,임금,007,포괄임금제도,039,연차유급휴가보상
002,임금,007,포괄임금제도,040,포괄임금제 성립요건
002,임금,007,포괄임금제도,041,묵시적 포괄임금제
002,임금,007,포괄임금제도,042,포괄임금제의 유형
002,임금,007,포괄임금제도,043,포괄임금제의 의의
002,임금,008,휴업수당,044,휴업수당 감액
002,임금,008,휴업수당,045,휴업수당 산정
002,임금,008,휴업수당,046,사용자 귀책사유
002,임금,009,퇴직연금,047,퇴직연금 폐지
002,임금,009,퇴직연금,048,퇴직연금 수급
002,임금,009,퇴직연금,049,확정급여형
002,임금,009,퇴직연금,050,확정기여형
002,임금,009,퇴직연금,051,퇴직연금 도입
002,임금,010,퇴직금,052,퇴직금 발생 여부
002,임금,010,퇴직금,053,퇴직금 지급 기준
002,임금,010,퇴직금,054,퇴직금 규정
002,임금,010,퇴직금,055,퇴직금 정산
002,임금,010,퇴직금,056,퇴직금 적용예외
002,임금,010,퇴직금,057,퇴직금차등
002,임금,010,퇴직금,058,퇴직금 감액규정
002,임금,010,퇴직금,059,퇴직금 분할약정
002,임금,010,퇴직금,060,퇴직금 산정
002,임금,010,퇴직금,061,부제소특약
002,임금,010,퇴직금,062,퇴직금포기
002,임금,010,퇴직금,063,퇴직금분할약정
002,임금,010,퇴직금,064,평균임금 산정
002,임금,010,퇴직금,065,임금의 범위
002,임금,010,퇴직금,066,퇴직금 지급제외
002,임금,010,퇴직금,067,퇴직금 중간정산
002,임금,010,퇴직금,068,임금 지급방법
002,임금,010,퇴직금,069,퇴직금 지급기일
002,임금,010,퇴직금,070,퇴직금 지급
002,임금,010,퇴직금,071,퇴직금 적용제외
002,임금,010,퇴직금,072,퇴직금 계속근로기간
002,임금,010,퇴직금,073,퇴직금 차등
002,임금,011,평균임금,075,평균임금 효력
002,임금,011,평균임금,076,평균임금 조정
002,임금,011,평균임금,077,평균임금 의의
002,임금,011,평균임금,078,평균임금 범위
002,임금,011,평균임금,079,평균임금 적용
002,임금,011,평균임금,080,평균임금 산정
002,임금,012,통상임금,082,통상임금 산정
002,임금,012,통상임금,083,통상임금 범위
002,임금,013,최저임금,085,최저임금 주지의무
002,임금,013,최저임금,086,최저임금 위반
002,임금,013,최저임금,087,최저임금 결정
002,임금,013,최저임금,088,최저임금 범위
002,임금,013,최저임금,089,최저임금 적용
002,임금,014,임금채권,091,임금채권 양도
002,임금,014,임금채권,092,기타
002,임금,014,임금채권,093,임금채권 소멸
002,임금,014,임금채권,094,소멸시효
002,임금,016,임금일반,097,전액지급 원칙
002,임금,016,임금일반,098,임금반납
002,임금,016,임금일반,099,임금지급 금액
002,임금,016,임금일반,100,임금지급여부
002,임금,016,임금일반,101,평균임금 산정
002,임금,016,임금일반,102,수습근로
002,임금,016,임금일반,103,최저임금 결정
002,임금,016,임금일반,104,임금체불
002,임금,016,임금일반,105,임금의 범위
002,임금,016,임금일반,106,임금의 의의
002,임금,016,임금일반,107,임금 지급방법
002,임금,016,임금일반,108,체당금
002,임금,017,법정수당,110,당직수당
002,임금,017,법정수당,111,가산수당
002,임금,017,법정수당,112,포괄임금제
002,임금,019,노동 일반,115,근로
002,임금,019,노동 일반,116,징계
002,임금,019,노동 일반,117,근로자 보호
002,임금,019,노동 일반,118,사업주 지원
002,임금,019,노동 일반,119,사직
002,임금,019,노동 일반,120,포괄임금제
002,임금,019,노동 일반,121,근로관계 변경
002,임금,019,노동 일반,122,고용보험법
002,임금,019,노동 일반,123,휴직기간
002,임금,019,노동 일반,124,근로관계 이전
002,임금,019,노동 일반,125,선원법
002,임금,019,노동 일반,126,교원의 해임
002,임금,019,노동 일반,127,정리해고
002,임금,019,노동 일반,128,전보(배치전환)
002,임금,019,노동 일반,129,"안전,보건 조치"
002,임금,019,노동 일반,130,근로자공급사업
002,임금,019,노동 일반,131,육아휴직
002,임금,019,노동 일반,132,직업소개사업
002,임금,019,노동 일반,133,차별 금지
002,임금,019,노동 일반,134,사업변동 시 근로관계
002,임금,019,노동 일반,135,가족돌봄휴직
